name,state,description,tags
Small Business Scheme (Gujarat Gopalak Vikas Nigam),Gujarat,"The scheme aims to support small businesses. Through this scheme, individual loans at an annual interest rate are provided to members of the SEBC Rabari and Bharwad communities for establishing businesses, such as grocery shops, dairy parlours, and animal food sales centres.","['Animal Feed Sales Centers', 'Computer Repair Shop', 'Dairy Parlors', 'Grocery Stores', 'Mobile Repair Shop']"
Swayam Saksham Yojana (GTKVN),Gujarat,"The scheme aims to promote economic self-reliance among professionally educated unemployed youth from Thakor & Koli communities, aged between 18 & 35 years, who hold degrees in fields such as Pharmacy, Software/Hardware, Automobile Engineering, Law, Chartered Accountancy, & others.","['Enterpreneurs', 'Koli', 'Loan', 'Self-employment', 'Thakor', 'Youth']"
Swayam Saksham Yojana (GBCDC),Gujarat,"This scheme aims to instill a sense of self-reliance in the youth belonging to backward classes after receiving vocational education/training. Under this scheme, eligible youth are provided loans at a low-interest rate to start self-employment ventures.","['Backward Classes', 'Enterpreneurship', 'Loan', 'Self-employment', 'Youth']"
New Akanksha Scheme (Educational Loan) (GNDTDC),Gujarat,"Under the scheme, educational loans of up to ₹10 lakh are provided to students belonging to Nomadic and Denotified Tribes communities for pursuing higher professional and technical education at the graduate and postgraduate levels.","['Denotified Tribe', 'Graduation', 'Higher Education', 'Loan', 'Nomadic Tribe', 'Post Graduation', 'Technical Education']"
Junior/Senior Fellowship in the Field of Fine Arts,Gujarat,"The scheme ""Junior/Senior Fellowship in the Field of Fine Arts"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat, aims to support artistic innovation and research by offering fellowships to young and senior artists in Gujarat.","['Artist', 'Fellowship', 'Fine Arts', 'Painting', 'Sculpture']"
Prof. Joseph Mundassery Scholarship Award,Kerala,"The aim is to provide financial assistance to financially backwards students from minority communities. Through this scheme, financial assistance is provided to eligible students from Christian, Buddhist, Jain, Sikh, Muslim, and Parsi communities.","['Award', 'College', 'Education', 'Scholarship', 'Student']"
APJ Abdul Kalam Scholarship,Kerala,"The scheme aims to provide financial assistance to minority students pursuing Polytechnic Diploma courses. Through this scheme, scholarships are provided to eligible minority students. The scheme is implemented by the Directorate of Minority Welfare.","['Academics', 'Financial Assistance', 'School', 'Students']"
PMMSY: Inputs for Saline /Alkaline Water Aquaculture - Haryana,Haryana,The subsidy for Inputs for Saline /Alkaline Water Aquaculture under Pradhan Mantri Matsya Sampada Yojana (PMMSY) provides input cost subsidy for saline/alkaline water aquaculture in newly created water bodies to expand fisheries production in Haryana.,"['Aquaculture', 'Entrepreneurs', 'Fish Farmers', 'Initial Crop']"
Pradhan Mantri Matsya Kisan Samridhi Sah-yojana (PM-MKSSY): COMPONENT 1B: One-Time Incentive for the Adoption of Aquaculture Insurance,"Ministry of Fisheries,Animal Husbandry and Dairying",The Component 1B of PM-MKSSY provides a one-time incentive to eligible applicants who have availed institutional credit for fisheries-related activities. The objective is to encourage formal credit adoption and support the repayment capacity of fisheries microenterprises.,"['Aquaculture', 'Credit', 'Fisheries', 'Incentive', 'Insurance']"
Intensive Fisheries Development Programme - Subsidy on Solar System for fish/shrimp culture,Haryana,"Under this scheme, subsidies on solar systems for fish/shrimp culture are provided to eligible fish and shrimp farmers. The subsidy is given at 60% of the total project cost, or ₹30,000 per kW, whichever is lower. The maximum subsidy is limited to 30 kW for shrimp farmers and 10 kW for fish farmers.","['Fish', 'Fish Farmer', 'Shrimp Culture', 'Solar System', 'Subsidy']"
PMMSY: Installation of Cages in Reservoirs Scheme - Haryana,Haryana,The scheme aims to promote cage fish farming. It provides grants per unit to the individuals and groups for sustainable aquaculture practices.,"['Fish Farming', 'Fishermen', 'General Category', 'Scheduled Caste', 'Subsidy', 'Women']"
Pradhan Mantri Matsya Sampada Yojana: Establishment of Backyard mini RAS Units - Haryana,Haryana,"Under this scheme, financial assistance in the form of subsidies is provided to eligible beneficiaries for establishing these units. Various surface and groundwater sources such as canals, rivers, springs, open wells, and tube wells can be utilized for operating RAS units.","['Backyards', 'Fish', 'Fish Farmer', 'Fisheries', 'Subsidy', 'Water Source']"
Scheme of Financial Assistance to Literary/Educational Institutions for Organizing Programs/Conferences,Gujarat,"The scheme aims to encourage intellectual and cultural activities by providing financial support to institutions conducting seminars, workshops, symposiums, and literary programs.","['Cultural Events', 'Educational Conferences', 'Sahitya Sammelan', 'Seminar']"
Livelihood Opportunity Promotion Scheme (Disabled),Uttarakhand,"The scheme aims to promote self-reliance among persons with disabilities through grants, term loans, and margin money assistance.","['Financial Assistance', 'Loan', 'Margin Money', 'Person With Disability', 'Self-employment', 'Shop']"
Term Loan Scheme (GNDTDC),Gujarat,"The scheme provides loans of up to ₹2,00,000 for agriculture and allied activities, small-scale businesses, craftsmanship and traditional occupations, as well as service-based trades/businesses.","['Business', 'Denotified Tribes', 'Loan', 'Nomadic Tribes', 'Small-scale Business']"
Prof. Joseph Mundassery Scholarship Award,Kerala,"The aim is to provide financial assistance to financially backwards students from minority communities. Through this scheme, financial assistance is provided to eligible students from Christian, Buddhist, Jain, Sikh, Muslim, and Parsi communities.","['Award', 'College', 'Education', 'Scholarship', 'Student']"
Pradhan Mantri Matsya Sampada Yojana (PMMSY-Inland): Installation of Cage in Reservoir - Gujarat,Gujarat,The scheme aims to boost inland fish production and employment in fisheries. It provides financial assistance for cage installation in reservoirs to eligible beneficiaries.,"['Biofloc', 'Cage', 'Fish Farming', 'Freshwater Hatcheries', 'Recirculating Aquaculture System']"
Post SSC Scholarship for Boys/Girls from Socially and Educationally Backward Classes,Gujarat,"The scheme aims to provide financial assistance to students from Socially & Educationally Backward Classes and Nomadic & De-notified Tribes pursuing education after SSC. Under this scheme, eligible students receive yearly scholarships ranging from ₹1,500 to ₹5,000, depending on their academic group.","['NTDNT', 'Scholarship', 'SEBC', 'SSC', 'Student']"
Mahila Samruddhi Yojana (DAADC),Gujarat,"The scheme aims to promote self-employment and financial independence among women from the Antyodaya Samaj, especially from Scheduled Castes. Under this scheme, loan up to ₹50,000/- is provided at a concessional interest rate to eligible women for starting small-scale businesses.","['Antyodaya Samaj', 'Loan', 'Scheduled Caste', 'Self-employment', 'Woman']"
Safety Audit,Haryana,"The Safety Audit Scheme by the Government of Haryana aims to promote safety practices within Micro, Small & Medium Enterprises (MSMEs) by supporting them in conducting safety audits and implementing safety equipment.","['Business', 'Financial Assistance']"
New Swarnima Scheme (GBCDC),Haryana,"The scheme aims to provide a special scheme for the self-employment of women from backwards classes living below the poverty line. Through this scheme, financial assistance for chosen businesses is offered to female beneficiaries from socially and educationally backward classes.","['Backward Class', 'Business', 'Loan', 'Self Employment', 'Women']"
Pre-Matric Scholarship for the Students of Minority Castes,Gujarat,The scheme aims to support education among minority students by providing financial assistance from class 1st to 10th in government and aided schools.,"['Minority', 'Pre-matric', 'Scholarship', 'Student']"
Stamp Duty Refund,Haryana,The Government of Haryana offers reimbursement of stamp duty charges to incentivize industrial investment and infrastructure development across the state. This scheme provides financial relief on stamp duty paid during land or property registration for eligible sectors and locations.,['Financial Assistance']
Khel Mahakumbh,Gujarat,"The scheme ""Khel Mahakumbh"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat aims to promote sports culture and identify grassroots talent through cash prizes and structured competitions, benefiting all individuals and students across Gujarat.","['Cash Prize', 'Competition', 'Sports', 'Sports Talent']"
Vehicle Loan Scheme (GTKVN),Gujarat,"The scheme aims to promote self-employment among youth from the Thakor and Koli communities by providing loans of up to ₹4,00,000/- for the purchase of commercial vehicles such as auto-rickshaws, loading rickshaws, or a Maruti Eeco van to start an income-generating transport business.","['Auto Rickshaw', 'Loan', 'Self Employment', 'Transport', 'Vehicle']"
Trekking in Forest Area (Scheduled Castes),Gujarat,"The scheme ""Trekking in Forest Area"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat aims to promote love and awareness for nature among youth by organizing trekking programs in forest areas for selected young men and women.","['Eco Tourism', 'Forest Awareness', 'Scheduled Caste', 'Trekking', 'Wildlife Exposure']"
Trekking in Forest Area (Scheduled Tribes),Gujarat,"The scheme ""Trekking in Forest Area (Scheduled Tribes)"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat, aims to promote love and awareness for nature among youth by organizing trekking programs in forest areas for selected Scheduled Tribes young men and women.","['Eco Tourism', 'Forest Awareness', 'Scheduled Tribe', 'Trekking', 'Wildlife Exposure']"
